[3/20/2019 1:01:43 AM][AGENT] IP:{190.72.39.231} User:{janzeel} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[3/24/2019 4:49:56 AM][AGENT] IP:{200.86.12.8} User:{hyperfix1} Opcode:{0x716A} Bytes:{5} Packet_c{1}
[3/24/2019 4:53:03 AM][AGENT] IP:{200.86.12.8} User:{hyperfix1} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[3/25/2019 11:32:29 PM][AGENT] IP:{190.204.38.135} User:{rauljesus1995} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[3/28/2019 5:29:59 AM][AGENT] IP:{190.200.176.191} User:{pali2} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[3/29/2019 9:52:08 PM][AGENT] IP:{190.37.77.212} User:{argenis123} Opcode:{0x7477} Bytes:{16} Packet_c{1}
[3/30/2019 3:05:47 PM][AGENT] IP:{190.74.204.103} User:{enys502} Opcode:{0x7110} Bytes:{14} Packet_c{1}
[3/31/2019 2:56:16 AM][AGENT] IP:{181.49.83.147} User:{test123} Opcode:{0x7450} Bytes:{26} Packet_c{1}
[4/3/2019 1:58:03 PM][AGENT] IP:{190.198.232.202} User:{spitfire} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/3/2019 3:04:25 PM][AGENT] IP:{190.198.232.202} User:{aegon} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/3/2019 3:04:33 PM][AGENT] IP:{190.198.232.202} User:{aegon} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/3/2019 3:04:33 PM][AGENT] IP:{190.198.232.202} User:{aegon} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/3/2019 3:04:33 PM][AGENT] IP:{190.198.232.202} User:{aegon} Opcode:{0x711A} Bytes:{2} Packet_c{2}
[4/3/2019 3:04:34 PM][AGENT] IP:{190.198.232.202} User:{aegon} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/3/2019 3:04:34 PM][AGENT] IP:{190.198.232.202} User:{aegon} Opcode:{0x711A} Bytes:{2} Packet_c{2}
[4/3/2019 3:04:34 PM][AGENT] IP:{190.198.232.202} User:{aegon} Opcode:{0x711A} Bytes:{2} Packet_c{3}
[4/3/2019 3:04:34 PM][AGENT] IP:{190.198.232.202} User:{aegon} Opcode:{0x711A} Bytes:{2} Packet_c{4}
[4/3/2019 5:18:02 PM][AGENT] IP:{190.79.9.164} User:{zzedinzz} Opcode:{0x7477} Bytes:{13} Packet_c{1}
[4/3/2019 6:52:22 PM][AGENT] IP:{190.79.9.164} User:{zzedinzz} Opcode:{0x7477} Bytes:{17} Packet_c{1}
[4/5/2019 12:06:21 PM][AGENT] IP:{190.206.3.149} User:{jaam96} Opcode:{0x747C} Bytes:{4} Packet_c{1}
[4/5/2019 7:46:30 PM][AGENT] IP:{190.77.236.3} User:{spitfores} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/5/2019 9:18:30 PM][AGENT] IP:{190.77.236.3} User:{aegon} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/6/2019 2:07:25 AM][AGENT] IP:{179.6.197.239} User:{junioryup1230} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/7/2019 1:35:30 AM][AGENT] IP:{190.206.3.149} User:{jaam96} Opcode:{0x747C} Bytes:{4} Packet_c{1}
[4/7/2019 5:26:22 AM][AGENT] IP:{181.130.202.13} User:{huajari09} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/7/2019 5:26:27 AM][AGENT] IP:{181.130.202.13} User:{huajari09} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/7/2019 5:26:29 AM][AGENT] IP:{181.130.202.13} User:{huajari09} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/7/2019 5:26:34 AM][AGENT] IP:{181.130.202.13} User:{huajari09} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/7/2019 6:20:12 AM][AGENT] IP:{190.199.72.119} User:{unknown} Opcode:{0x7031} Bytes:{9} Packet_c{1}
[4/7/2019 6:20:43 AM][AGENT] IP:{191.99.98.3} User:{anndriy99} Opcode:{0x7031} Bytes:{9} Packet_c{2}
[4/10/2019 1:45:52 AM][AGENT] IP:{186.185.125.137} User:{zzedinzz} Opcode:{0x7110} Bytes:{21} Packet_c{1}
[4/10/2019 1:46:35 AM][AGENT] IP:{186.185.125.137} User:{zzedinzz} Opcode:{0x7110} Bytes:{23} Packet_c{1}
[4/10/2019 10:34:55 PM][AGENT] IP:{200.84.183.231} User:{pali2} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/11/2019 7:58:20 AM][AGENT] IP:{190.201.9.149} User:{eltripa} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[4/11/2019 5:40:19 PM][AGENT] IP:{190.201.9.149} User:{eltripa} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[4/11/2019 5:41:18 PM][AGENT] IP:{190.201.9.149} User:{eltripa} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[4/13/2019 10:46:03 PM][AGENT] IP:{190.237.143.149} User:{cometiger1} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[4/13/2019 10:46:49 PM][AGENT] IP:{190.237.143.149} User:{cometiger1} Opcode:{0x716A} Bytes:{5} Packet_c{1}
[4/14/2019 4:55:05 AM][AGENT] IP:{190.200.45.92} User:{eltripa} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[4/15/2019 1:35:18 AM][AGENT] IP:{190.201.27.31} User:{hueso1611} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[4/15/2019 8:16:04 AM][AGENT] IP:{190.207.57.170} User:{eltripa} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[4/15/2019 8:24:44 AM][AGENT] IP:{190.207.57.170} User:{eltripa} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[4/17/2019 5:46:56 AM][AGENT] IP:{190.202.249.78} User:{exodiaorii} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[4/17/2019 5:47:05 AM][AGENT] IP:{190.202.249.78} User:{gregoriltq} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[4/18/2019 12:57:53 AM][AGENT] IP:{186.94.147.86} User:{awersome1} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/20/2019 4:05:46 PM][AGENT] IP:{200.84.181.122} User:{hanny1995} Opcode:{0x7031} Bytes:{9} Packet_c{2}
[4/20/2019 4:05:47 PM][AGENT] IP:{190.79.26.55} User:{unknown} Opcode:{0x7031} Bytes:{9} Packet_c{1}
[4/20/2019 4:05:51 PM][AGENT] IP:{186.88.106.100} User:{tirso} Opcode:{0x7031} Bytes:{9} Packet_c{1}
[4/21/2019 9:41:14 AM][AGENT] IP:{5.155.11.47} User:{fightingred} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/21/2019 9:41:20 AM][AGENT] IP:{5.155.11.47} User:{fightingred} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/22/2019 1:44:12 PM][AGENT] IP:{190.198.159.230} User:{nunes983} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[4/23/2019 11:35:48 PM][AGENT] IP:{190.74.204.103} User:{enys502} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[4/24/2019 1:54:58 AM][AGENT] IP:{201.210.80.7} User:{hebberth12} Opcode:{0x7031} Bytes:{9} Packet_c{1}
[4/24/2019 1:55:00 AM][AGENT] IP:{190.201.163.189} User:{unknown} Opcode:{0x7031} Bytes:{9} Packet_c{1}
[4/24/2019 1:55:02 AM][AGENT] IP:{190.204.90.60} User:{nunes03} Opcode:{0x7031} Bytes:{9} Packet_c{1}
[4/24/2019 1:55:11 AM][AGENT] IP:{190.74.204.103} User:{enys502} Opcode:{0x7031} Bytes:{9} Packet_c{1}
[4/24/2019 1:55:52 AM][AGENT] IP:{190.130.207.107} User:{anndriy99} Opcode:{0x7031} Bytes:{9} Packet_c{1}
[4/24/2019 1:56:22 AM][AGENT] IP:{190.79.11.85} User:{tirso} Opcode:{0x7031} Bytes:{9} Packet_c{1}
[4/26/2019 3:27:02 AM][AGENT] IP:{190.207.133.234} User:{jeffdead} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[4/27/2019 1:08:25 AM][AGENT] IP:{200.44.78.16} User:{nicolas} Opcode:{0x7477} Bytes:{19} Packet_c{1}
[4/28/2019 3:04:23 AM][AGENT] IP:{200.84.212.41} User:{estarlin} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[4/28/2019 8:38:25 PM][AGENT] IP:{190.78.45.73} User:{awersome1} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[4/30/2019 1:45:31 AM][AGENT] IP:{201.210.196.207} User:{awersome1} Opcode:{0x7110} Bytes:{19} Packet_c{2}
[4/30/2019 1:56:46 AM][AGENT] IP:{201.210.196.207} User:{awersome1} Opcode:{0x7110} Bytes:{19} Packet_c{1}
[4/30/2019 1:56:53 AM][AGENT] IP:{200.86.12.8} User:{hyperfix1} Opcode:{0x7110} Bytes:{19} Packet_c{1}
[4/30/2019 1:57:16 AM][AGENT] IP:{200.86.12.8} User:{hyperfix1} Opcode:{0x7110} Bytes:{19} Packet_c{1}
[4/30/2019 1:58:12 AM][AGENT] IP:{200.86.12.8} User:{hyperfix1} Opcode:{0x7112} Bytes:{4} Packet_c{1}
[4/30/2019 2:23:38 AM][AGENT] IP:{201.210.196.207} User:{awersome1} Opcode:{0x7110} Bytes:{19} Packet_c{1}
[4/30/2019 2:25:07 AM][AGENT] IP:{201.210.196.207} User:{awersome1} Opcode:{0x7110} Bytes:{19} Packet_c{1}
[4/30/2019 11:53:45 AM][AGENT] IP:{201.210.196.207} User:{awersome1} Opcode:{0x7113} Bytes:{4} Packet_c{1}
[5/1/2019 10:50:20 AM][AGENT] IP:{201.243.128.195} User:{awersome1} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/1/2019 4:52:23 PM][AGENT] IP:{186.94.143.54} User:{awersome1} Opcode:{0x7112} Bytes:{4} Packet_c{1}
[5/1/2019 4:52:28 PM][AGENT] IP:{186.94.143.54} User:{awersome1} Opcode:{0x7112} Bytes:{4} Packet_c{1}
[5/1/2019 4:52:41 PM][AGENT] IP:{186.94.143.54} User:{awersome1} Opcode:{0x7112} Bytes:{4} Packet_c{1}
[5/2/2019 5:26:53 AM][AGENT] IP:{190.140.125.15} User:{nukerovzl1} Opcode:{0x747C} Bytes:{4} Packet_c{1}
[5/2/2019 11:25:14 AM][AGENT] IP:{190.207.211.34} User:{jeffdead} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/3/2019 5:38:54 PM][AGENT] IP:{190.39.123.96} User:{zetavolt} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[5/4/2019 10:37:34 PM][AGENT] IP:{190.207.247.17} User:{jeffdead} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/5/2019 2:31:57 PM][AGENT] IP:{190.78.50.63} User:{awersome1} Opcode:{0x7113} Bytes:{4} Packet_c{1}
[5/6/2019 9:18:26 PM][AGENT] IP:{201.249.99.26} User:{hanny1995} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/6/2019 9:40:02 PM][AGENT] IP:{190.140.175.119} User:{nukerovzl1} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/7/2019 1:46:31 AM][AGENT] IP:{200.109.220.158} User:{jeffdead} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/7/2019 6:50:05 AM][AGENT] IP:{190.201.1.242} User:{eltripa} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/9/2019 5:12:00 PM][AGENT] IP:{190.39.88.71} User:{zetavolt} Opcode:{0x7105} Bytes:{4} Packet_c{1}
[5/11/2019 5:41:38 AM][AGENT] IP:{190.140.125.15} User:{nukerovzl1} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/12/2019 12:17:59 AM][AGENT] IP:{190.140.125.15} User:{nukerovzl1} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[5/12/2019 12:18:12 AM][AGENT] IP:{190.140.125.15} User:{nukerovzl1} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[5/12/2019 12:22:06 AM][AGENT] IP:{190.140.125.15} User:{nukerovzl1} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[5/12/2019 12:22:09 AM][AGENT] IP:{190.140.125.15} User:{nukerovzl1} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[5/12/2019 2:24:07 AM][AGENT] IP:{190.207.56.243} User:{nunes1983} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/13/2019 11:25:01 PM][AGENT] IP:{190.207.40.140} User:{nunes1983} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/13/2019 11:41:27 PM][AGENT] IP:{200.109.203.11} User:{jeffdead} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/14/2019 1:07:21 AM][AGENT] IP:{190.140.125.15} User:{nukerovzl1} Opcode:{0x751D} Bytes:{4} Packet_c{2}
[5/14/2019 1:07:21 AM][AGENT] IP:{190.140.125.15} User:{nukerovzl1} Opcode:{0x751D} Bytes:{4} Packet_c{3}
[5/14/2019 1:07:21 AM][AGENT] IP:{190.140.125.15} User:{nukerovzl1} Opcode:{0x751D} Bytes:{4} Packet_c{4}
[5/14/2019 1:07:21 AM][AGENT] IP:{190.140.125.15} User:{nukerovzl1} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/14/2019 1:07:22 AM][AGENT] IP:{190.140.125.15} User:{nukerovzl1} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/14/2019 1:07:23 AM][AGENT] IP:{190.140.125.15} User:{nukerovzl1} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/14/2019 9:50:47 PM][AGENT] IP:{181.115.248.29} User:{tanatos83} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/16/2019 1:00:49 AM][AGENT] IP:{186.167.244.13} User:{inetworks} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[5/16/2019 1:00:49 AM][AGENT] IP:{186.167.244.13} User:{inetworks} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[5/16/2019 1:15:37 AM][AGENT] IP:{186.167.248.32} User:{inetworks} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[5/16/2019 11:35:00 AM][AGENT] IP:{200.109.152.33} User:{inetworks} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[5/16/2019 11:35:24 AM][AGENT] IP:{200.109.152.33} User:{awersome1} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[5/16/2019 11:56:30 AM][AGENT] IP:{186.167.251.111} User:{mister2019} Opcode:{0x7477} Bytes:{20} Packet_c{1}
[5/16/2019 4:06:07 PM][AGENT] IP:{190.207.185.92} User:{jeffdead} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/16/2019 8:09:13 PM][AGENT] IP:{186.167.243.159} User:{josexxx} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[5/16/2019 8:10:11 PM][AGENT] IP:{186.167.243.159} User:{josexxx} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[5/16/2019 8:10:17 PM][AGENT] IP:{186.167.243.159} User:{josexxx} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[5/17/2019 2:33:15 AM][AGENT] IP:{190.207.185.92} User:{jeffdead} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/17/2019 7:08:43 PM][AGENT] IP:{190.207.185.92} User:{jeffdead} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/18/2019 4:01:10 AM][AGENT] IP:{190.207.185.92} User:{jeffdead} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/18/2019 8:44:12 PM][AGENT] IP:{190.76.250.166} User:{delvis4} Opcode:{0x747C} Bytes:{4} Packet_c{3}
[5/18/2019 8:44:13 PM][AGENT] IP:{190.76.250.166} User:{delvis4} Opcode:{0x747C} Bytes:{4} Packet_c{3}
[5/18/2019 8:45:16 PM][AGENT] IP:{190.76.250.166} User:{delvis4} Opcode:{0x747C} Bytes:{4} Packet_c{1}
[5/18/2019 9:28:07 PM][AGENT] IP:{190.201.185.13} User:{nunes03} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/19/2019 5:16:29 AM][AGENT] IP:{190.77.241.227} User:{eltripa} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/20/2019 4:09:10 AM][AGENT] IP:{190.201.167.219} User:{nunes03} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/20/2019 4:17:40 PM][AGENT] IP:{181.115.248.164} User:{tanatos83} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/20/2019 10:46:57 PM][AGENT] IP:{190.206.150.133} User:{awersome1} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[5/21/2019 1:58:00 AM][AGENT] IP:{200.44.83.78} User:{zetavolt} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/22/2019 3:52:32 AM][AGENT] IP:{186.91.185.205} User:{heyder321} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/22/2019 4:56:18 PM][AGENT] IP:{186.91.185.205} User:{heyder321} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/23/2019 2:41:07 PM][AGENT] IP:{190.199.100.110} User:{estarlin} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[5/23/2019 2:41:10 PM][AGENT] IP:{190.199.100.110} User:{estarlin} Opcode:{0x716A} Bytes:{5} Packet_c{1}
[5/23/2019 3:42:33 PM][AGENT] IP:{190.140.175.119} User:{nukerovzl1} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[5/23/2019 3:42:42 PM][AGENT] IP:{190.140.175.119} User:{nukerovzl1} Opcode:{0x716A} Bytes:{5} Packet_c{1}
[5/23/2019 6:39:13 PM][AGENT] IP:{190.39.93.6} User:{zetavolt} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/24/2019 10:23:33 PM][AGENT] IP:{190.207.137.35} User:{iglesia} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/24/2019 11:58:13 PM][AGENT] IP:{190.207.137.35} User:{jeffdead} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/25/2019 1:24:37 AM][AGENT] IP:{190.201.2.193} User:{nunes1983} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/25/2019 2:12:29 AM][AGENT] IP:{190.201.2.193} User:{nunes03} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/25/2019 12:43:37 PM][AGENT] IP:{186.188.196.131} User:{nukerovzl1} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/25/2019 10:17:49 PM][AGENT] IP:{201.243.17.207} User:{arkadiano1995} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/26/2019 6:03:49 PM][AGENT] IP:{186.188.196.131} User:{nukerovzl1} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/26/2019 8:01:56 PM][AGENT] IP:{186.167.248.177} User:{inetworks} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/26/2019 9:49:34 PM][AGENT] IP:{190.79.10.61} User:{nunes03} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/27/2019 4:41:19 AM][AGENT] IP:{181.67.43.251} User:{manever10} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[5/28/2019 9:20:00 AM][AGENT] IP:{190.203.242.239} User:{eltripa} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/28/2019 5:03:12 PM][AGENT] IP:{181.115.248.100} User:{tanatos84} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/29/2019 3:54:32 AM][AGENT] IP:{190.198.251.25} User:{nunes2705} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/29/2019 5:17:58 PM][AGENT] IP:{168.194.110.235} User:{mister2019} Opcode:{0x7110} Bytes:{20} Packet_c{1}
[5/31/2019 12:22:39 AM][AGENT] IP:{190.201.3.83} User:{nunes1983} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[5/31/2019 2:00:52 AM][AGENT] IP:{186.93.147.20} User:{jeffdead} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/1/2019 3:05:05 AM][AGENT] IP:{186.91.185.205} User:{heyder321} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/1/2019 3:21:11 AM][AGENT] IP:{190.201.3.83} User:{nunes03} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/2/2019 4:04:29 AM][AGENT] IP:{186.93.147.20} User:{jeffdead} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/3/2019 2:02:46 AM][AGENT] IP:{190.39.107.0} User:{zetavolt} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[6/3/2019 2:12:01 AM][AGENT] IP:{186.185.64.173} User:{tozko1} Opcode:{0x7110} Bytes:{16} Packet_c{1}
[6/3/2019 2:12:17 AM][AGENT] IP:{186.185.64.173} User:{tozko1} Opcode:{0x7110} Bytes:{15} Packet_c{2}
[6/3/2019 3:27:12 AM][AGENT] IP:{186.91.185.205} User:{heyder321} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/3/2019 9:48:01 PM][AGENT] IP:{190.39.107.0} User:{zetavolt} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/4/2019 1:40:53 AM][AGENT] IP:{200.86.12.8} User:{hyperfix1} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[6/4/2019 1:40:55 AM][AGENT] IP:{200.86.12.8} User:{hyperfix1} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[6/4/2019 2:08:48 AM][AGENT] IP:{186.91.185.205} User:{heyder321} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/4/2019 6:04:42 PM][AGENT] IP:{190.130.204.94} User:{kirito} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/4/2019 7:28:28 PM][AGENT] IP:{190.130.204.94} User:{anndriy999} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/4/2019 11:09:31 PM][AGENT] IP:{190.130.204.94} User:{kirito} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/5/2019 1:34:16 AM][AGENT] IP:{190.130.204.94} User:{anndriy99} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/5/2019 3:04:09 AM][AGENT] IP:{186.94.143.8} User:{awersome1} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[6/5/2019 3:04:36 AM][AGENT] IP:{186.94.143.8} User:{awersome1} Opcode:{0x716A} Bytes:{5} Packet_c{1}
[6/5/2019 3:17:34 AM][AGENT] IP:{200.86.12.8} User:{hyperfix1} Opcode:{0x716A} Bytes:{4} Packet_c{1}
[6/5/2019 3:17:43 AM][AGENT] IP:{200.86.12.8} User:{hyperfix1} Opcode:{0x716A} Bytes:{5} Packet_c{1}
[6/5/2019 3:32:45 AM][AGENT] IP:{190.130.204.94} User:{anndriy999} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/5/2019 5:58:55 AM][AGENT] IP:{190.130.204.94} User:{kirito} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/5/2019 6:40:19 AM][AGENT] IP:{190.130.204.94} User:{anndriy99} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/5/2019 7:35:18 PM][AGENT] IP:{190.200.144.39} User:{hanny1995} Opcode:{0x711A} Bytes:{2} Packet_c{2}
[6/5/2019 7:36:30 PM][AGENT] IP:{190.200.144.39} User:{hanny1995} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[6/5/2019 7:36:35 PM][AGENT] IP:{190.200.144.39} User:{hanny1995} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[6/5/2019 7:36:43 PM][AGENT] IP:{190.200.144.39} User:{hanny1995} Opcode:{0x711A} Bytes:{2} Packet_c{3}
[6/6/2019 12:56:31 AM][AGENT] IP:{190.200.144.39} User:{hanny1995} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[6/6/2019 5:50:48 AM][AGENT] IP:{190.130.204.94} User:{kirito} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/6/2019 3:22:57 PM][AGENT] IP:{186.93.121.118} User:{jeffdead} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/6/2019 5:24:25 PM][AGENT] IP:{190.130.204.94} User:{kirito} Opcode:{0x751D} Bytes:{4} Packet_c{1}
[6/6/2019 5:32:05 PM][AGENT] IP:{200.84.188.59} User:{hanny1995} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[6/6/2019 5:32:29 PM][AGENT] IP:{200.84.188.59} User:{hanny1995} Opcode:{0x711A} Bytes:{2} Packet_c{2}
[6/6/2019 5:32:43 PM][AGENT] IP:{200.84.188.59} User:{hanny1995} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[6/6/2019 7:39:47 PM][AGENT] IP:{181.115.248.234} User:{tanquecagan} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[6/6/2019 7:39:51 PM][AGENT] IP:{181.115.248.234} User:{tanquecagan} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[6/6/2019 7:40:28 PM][AGENT] IP:{181.115.248.234} User:{tanquecagan} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[6/6/2019 7:40:58 PM][AGENT] IP:{181.115.248.234} User:{tanquecagan} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[6/6/2019 7:41:39 PM][AGENT] IP:{181.115.248.234} User:{tanquecagan} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[6/6/2019 7:41:50 PM][AGENT] IP:{181.115.248.234} User:{tanquecagan} Opcode:{0x711A} Bytes:{2} Packet_c{1}
[6/6/2019 7:42:16 PM][AGENT] IP:{181.115.248.234} User:{tanquecagan} Opcode:{0x711A} Bytes:{2} Packet_c{1}
